H HEADER INFORMATION ------------------------------------------- 
H COMPANY : Impetro Operating, LLC
H FIELD   : Winkler County., TX (NAD 27)
H SITE    : Sec 03, Blk C-24 PSLS
H WELL    : Kudu A #2H
H WELLPATH: Wellbore #1
H DEPTHUNT: usft
H SURVDATE: 1/1/1990 
H---------------------------------------------------------------- 
H WELL INFORMATION 
H WELL EW MAP : 1072754.46
H WELL NS MAP : 852298.31
H DATUM ELEVN : 3018.00
H VSECT ANGLE : 166.60
H VSECT NORTH : 0.00
H VSECT EAST  : 0.00
H----------------------------------------------------------------
H SURVEY TYPE INFORMATION
H  122.00 - 19683.00 SURVEY #1 : MWD
H  19683.00 - 21261.62 PLAN #6A : MWD
H----------------------------------------------------------------
H SURVEY LIST
H MD      INC       AZI       TVD       NS        EW
9550.00   2.09      61.67     9548.79   36.30     48.65     
9560.00   2.07      62.19     9558.78   36.47     48.97     
9570.00   2.05      62.73     9568.77   36.63     49.29     
9580.00   2.03      63.27     9578.77   36.79     49.61     
9590.00   2.01      63.83     9588.76   36.95     49.92     
9600.00   2.00      65.13     9598.76   37.10     50.24     
9610.00   2.01      66.73     9608.75   37.24     50.56     
9620.00   2.01      68.32     9618.74   37.38     50.88     
9630.00   2.02      69.91     9628.74   37.50     51.21     
9640.00   2.03      71.48     9638.73   37.62     51.55     
9650.00   2.04      73.03     9648.72   37.73     51.88     
9660.00   2.06      74.57     9658.72   37.83     52.23     
9670.00   2.07      76.08     9668.71   37.92     52.58     
9680.00   2.08      77.57     9678.70   38.00     52.93     
9690.00   2.10      78.96     9688.70   38.08     53.29     
9700.00   2.12      79.58     9698.69   38.15     53.65     
9710.00   2.14      80.18     9708.68   38.21     54.02     
9720.00   2.16      80.77     9718.68   38.27     54.39     
9730.00   2.18      81.35     9728.67   38.33     54.76     
9740.00   2.20      81.92     9738.66   38.39     55.14     
9750.00   2.23      82.48     9748.66   38.44     55.52     
9760.00   2.25      83.03     9758.65   38.49     55.91     
9770.00   2.27      83.56     9768.64   38.54     56.30     
9780.00   2.29      84.09     9778.63   38.58     56.70     
9790.00   2.31      84.97     9788.62   38.62     57.10     
9800.00   2.33      86.06     9798.62   38.65     57.50     
9810.00   2.35      87.14     9808.61   38.67     57.91     
9820.00   2.37      88.21     9818.60   38.69     58.32     
9830.00   2.39      89.25     9828.59   38.70     58.73     
9840.00   2.41      90.27     9838.58   38.70     59.15     
9850.00   2.43      91.28     9848.57   38.69     59.57     
9860.00   2.46      92.27     9858.56   38.68     60.00     
9870.00   2.48      93.24     9868.55   38.66     60.43     
9880.00   2.49      94.01     9878.54   38.63     60.86     
9890.00   2.42      94.04     9888.54   38.60     61.29     
9900.00   2.36      94.08     9898.53   38.57     61.71     
9910.00   2.30      94.11     9908.52   38.54     62.11     
9920.00   2.23      94.15     9918.51   38.52     62.51     
9930.00   2.17      94.19     9928.50   38.49     62.89     
9940.00   2.10      94.24     9938.50   38.46     63.26     
9950.00   2.04      94.29     9948.49   38.43     63.62     
9960.00   1.98      94.34     9958.48   38.41     63.97     
9970.00   1.91      94.39     9968.48   38.38     64.31     
9980.00   1.87      94.82     9978.47   38.36     64.64     
9990.00   1.82      95.36     9988.47   38.33     64.96     
10000.00  1.78      95.94     9998.46   38.30     65.27     
10010.00  1.74      96.54     10008.46  38.26     65.58     
10020.00  1.70      97.17     10018.45  38.23     65.87     
10030.00  1.65      97.83     10028.45  38.19     66.16     
10040.00  1.61      98.53     10038.45  38.15     66.45     
10050.00  1.57      99.26     10048.44  38.10     66.72     
10060.00  1.53      100.03    10058.44  38.06     66.99     
10070.00  1.49      100.56    10068.43  38.01     67.25     
10080.00  1.47      100.44    10078.43  37.97     67.50     
10090.00  1.45      100.32    10088.43  37.92     67.75     
10100.00  1.43      100.19    10098.42  37.87     68.00     
10110.00  1.41      100.06    10108.42  37.83     68.24     
10120.00  1.39      99.92     10118.42  37.79     68.48     
10130.00  1.37      99.78     10128.42  37.75     68.72     
10140.00  1.35      99.64     10138.41  37.71     68.95     
10150.00  1.33      99.49     10148.41  37.67     69.18     
10160.00  1.30      99.33     10158.41  37.63     69.41     
10170.00  1.29      99.05     10168.40  37.59     69.63     
10180.00  1.28      98.74     10178.40  37.56     69.85     
10190.00  1.27      98.43     10188.40  37.53     70.07     
10200.00  1.26      98.11     10198.40  37.50     70.29     
10210.00  1.25      97.78     10208.39  37.46     70.51     
10220.00  1.24      97.45     10218.39  37.44     70.73     
10230.00  1.23      97.11     10228.39  37.41     70.94     
10240.00  1.22      96.76     10238.39  37.38     71.15     
10250.00  1.21      96.41     10248.39  37.36     71.36     
10260.00  1.21      97.18     10258.38  37.34     71.57     
10270.00  1.25      99.52     10268.38  37.30     71.78     
10280.00  1.29      101.74    10278.38  37.26     72.00     
10290.00  1.33      103.82    10288.38  37.21     72.22     
10300.00  1.37      105.78    10298.37  37.15     72.45     
10310.00  1.41      107.62    10308.37  37.08     72.68     
10320.00  1.46      109.36    10318.37  37.00     72.92     
10330.00  1.50      110.99    10328.36  36.91     73.16     
10340.00  1.55      112.52    10338.36  36.82     73.41     
10350.00  1.60      113.96    10348.36  36.71     73.66     
10360.00  1.57      113.90    10358.35  36.59     73.91     
10370.00  1.54      113.66    10368.35  36.49     74.16     
10380.00  1.51      113.42    10378.35  36.38     74.40     
10390.00  1.48      113.16    10388.34  36.28     74.64     
10400.00  1.44      112.89    10398.34  36.18     74.88     
10410.00  1.41      112.62    10408.34  36.08     75.11     
10420.00  1.38      112.32    10418.33  35.99     75.33     
10430.00  1.35      112.02    10428.33  35.90     75.55     
10440.00  1.32      111.70    10438.33  35.81     75.77     
10450.00  1.23      112.36    10448.32  35.73     75.98     
10460.00  1.07      114.95    10458.32  35.65     76.16     
10470.00  0.91      118.47    10468.32  35.57     76.32     
10480.00  0.76      123.46    10478.32  35.49     76.44     
10490.00  0.61      130.94    10488.32  35.42     76.54     
10500.00  0.48      142.77    10498.32  35.36     76.60     
10510.00  0.38      161.81    10508.32  35.29     76.64     
10520.00  0.35      188.33    10518.32  35.23     76.65     
10530.00  0.40      213.90    10528.32  35.17     76.62     
10540.00  0.50      231.50    10538.32  35.11     76.57     
10550.00  0.50      238.35    10548.32  35.06     76.50     
10560.00  0.50      245.23    10558.32  35.02     76.42     
10570.00  0.51      251.96    10568.32  34.99     76.34     
10580.00  0.52      258.36    10578.32  34.97     76.25     
10590.00  0.54      264.31    10588.32  34.95     76.16     
10600.00  0.57      269.75    10598.32  34.95     76.07     
10610.00  0.60      274.65    10608.31  34.95     75.96     
10620.00  0.64      279.03    10618.31  34.97     75.86     
10630.00  0.68      282.92    10628.31  34.99     75.74     
10640.00  0.74      286.06    10638.31  35.02     75.62     
10650.00  0.82      288.36    10648.31  35.06     75.49     
10660.00  0.91      290.25    10658.31  35.11     75.35     
10670.00  0.99      291.81    10668.31  35.17     75.20     
10680.00  1.08      293.13    10678.31  35.24     75.03     
10690.00  1.16      294.25    10688.31  35.32     74.85     
10700.00  1.25      295.22    10698.30  35.41     74.66     
10710.00  1.34      296.06    10708.30  35.50     74.46     
10720.00  1.42      296.81    10718.30  35.61     74.24     
10730.00  1.50      297.17    10728.30  35.73     74.01     
10740.00  1.46      294.86    10738.29  35.84     73.78     
10750.00  1.43      292.45    10748.29  35.94     73.55     
10760.00  1.41      289.93    10758.29  36.03     73.32     
10770.00  1.38      287.32    10768.28  36.11     73.09     
10780.00  1.36      284.62    10778.28  36.17     72.86     
10790.00  1.34      281.84    10788.28  36.23     72.63     
10800.00  1.32      278.98    10798.27  36.27     72.40     
10810.00  1.31      276.06    10808.27  36.30     72.17     
10820.00  1.30      273.10    10818.27  36.32     71.95     
10830.00  1.33      272.47    10828.27  36.33     71.72     
10840.00  1.38      273.36    10838.26  36.34     71.48     
10850.00  1.44      274.18    10848.26  36.36     71.24     
10860.00  1.49      274.95    10858.26  36.38     70.98     
10870.00  1.54      275.66    10868.25  36.40     70.72     
10880.00  1.60      276.33    10878.25  36.43     70.45     
10890.00  1.65      276.95    10888.25  36.46     70.16     
10900.00  1.70      277.54    10898.24  36.50     69.87     
10910.00  1.76      278.09    10908.24  36.54     69.57     
10920.00  1.80      278.40    10918.23  36.59     69.27     
10930.00  1.77      277.92    10928.23  36.63     68.96     
10940.00  1.75      277.42    10938.22  36.67     68.65     
10950.00  1.73      276.91    10948.22  36.71     68.35     
10960.00  1.71      276.39    10958.21  36.74     68.05     
10970.00  1.69      275.86    10968.21  36.77     67.76     
10980.00  1.67      275.31    10978.20  36.80     67.47     
10990.00  1.65      274.75    10988.20  36.83     67.18     
11000.00  1.63      274.17    10998.20  36.85     66.89     
11010.00  1.61      273.58    11008.19  36.87     66.61     
11020.00  1.54      273.13    11018.19  36.89     66.34     
11030.00  1.46      272.71    11028.19  36.90     66.08     
11040.00  1.37      272.24    11038.18  36.91     65.83     
11050.00  1.29      271.71    11048.18  36.92     65.60     
11060.00  1.20      271.10    11058.18  36.92     65.38     
11070.00  1.12      270.40    11068.18  36.93     65.18     
11080.00  1.03      269.59    11078.17  36.93     64.99     
11090.00  0.95      268.63    11088.17  36.92     64.82     
11100.00  0.87      267.49    11098.17  36.92     64.66     
11110.00  0.80      266.80    11108.17  36.91     64.52     
11120.00  0.79      268.82    11118.17  36.91     64.38     
11130.00  0.79      270.86    11128.17  36.90     64.24     
11140.00  0.79      272.91    11138.17  36.91     64.10     
11150.00  0.79      274.97    11148.17  36.92     63.96     
11160.00  0.79      277.03    11158.16  36.93     63.83     
11170.00  0.79      279.09    11168.16  36.95     63.69     
11180.00  0.79      281.14    11178.16  36.98     63.55     
11190.00  0.79      283.18    11188.16  37.01     63.42     
11200.00  0.80      285.20    11198.16  37.04     63.28     
11210.00  0.84      283.73    11208.16  37.08     63.15     
11220.00  0.90      281.11    11218.16  37.11     63.00     
11230.00  0.96      278.82    11228.16  37.14     62.84     
11240.00  1.02      276.81    11238.16  37.16     62.67     
11250.00  1.09      275.03    11248.15  37.18     62.48     
11260.00  1.15      273.45    11258.15  37.19     62.29     
11270.00  1.22      272.04    11268.15  37.20     62.08     
11280.00  1.29      270.77    11278.15  37.21     61.86     
11290.00  1.35      269.63    11288.15  37.21     61.63     
11300.00  1.42      269.48    11298.14  37.21     61.39     
11310.00  1.48      271.31    11308.14  37.21     61.14     
11320.00  1.54      273.00    11318.14  37.22     60.88     
11330.00  1.60      274.55    11328.13  37.24     60.60     
11340.00  1.66      276.00    11338.13  37.26     60.32     
11350.00  1.72      277.33    11348.12  37.30     60.03     
11360.00  1.79      278.57    11358.12  37.34     59.72     
11370.00  1.85      279.73    11368.11  37.39     59.41     
11380.00  1.92      280.80    11378.11  37.45     59.08     
11390.00  1.99      281.81    11388.10  37.52     58.75     
11400.00  2.00      281.30    11398.10  37.59     58.41     
11410.00  2.00      280.41    11408.09  37.65     58.07     
11420.00  2.00      279.53    11418.08  37.71     57.72     
11430.00  1.99      278.65    11428.08  37.77     57.38     
11440.00  1.99      277.76    11438.07  37.82     57.04     
11450.00  2.00      276.88    11448.07  37.86     56.69     
11460.00  2.00      275.99    11458.06  37.90     56.34     
11470.00  2.00      275.11    11468.05  37.93     56.00     
11480.00  2.00      274.23    11478.05  37.96     55.65     
11490.00  2.01      273.47    11488.04  37.99     55.30     
11500.00  2.04      272.92    11498.04  38.01     54.95     
11510.00  2.07      272.38    11508.03  38.02     54.59     
11520.00  2.11      271.86    11518.02  38.04     54.22     
11530.00  2.14      271.36    11528.02  38.05     53.85     
11540.00  2.17      270.87    11538.01  38.05     53.48     
11550.00  2.20      270.39    11548.00  38.06     53.10     
11560.00  2.23      269.93    11557.99  38.06     52.71     
11570.00  2.26      269.48    11567.99  38.06     52.32     
11580.00  2.30      269.04    11577.98  38.05     51.92     
11590.00  2.26      267.93    11587.97  38.04     51.52     
11600.00  2.21      266.68    11597.96  38.02     51.13     
11610.00  2.17      265.39    11607.96  38.00     50.75     
11620.00  2.12      264.04    11617.95  37.96     50.38     
11630.00  2.08      262.64    11627.94  37.92     50.02     
11640.00  2.04      261.17    11637.94  37.87     49.66     
11650.00  2.00      259.65    11647.93  37.81     49.31     
11660.00  1.96      258.07    11657.92  37.74     48.98     
11670.00  1.92      256.42    11667.92  37.67     48.64     
11680.00  1.91      255.32    11677.91  37.59     48.32     
11690.00  1.93      255.11    11687.91  37.50     48.00     
11700.00  1.95      254.91    11697.90  37.41     47.67     
11710.00  1.97      254.71    11707.89  37.32     47.34     
11720.00  1.99      254.51    11717.89  37.23     47.01     
11730.00  2.01      254.32    11727.88  37.14     46.67     
11740.00  2.04      254.14    11737.88  37.04     46.33     
11750.00  2.06      253.95    11747.87  36.94     45.99     
11760.00  2.08      253.78    11757.86  36.84     45.64     
11770.00  2.10      253.60    11767.86  36.74     45.29     
11780.00  2.14      253.68    11777.85  36.64     44.94     
11790.00  2.17      253.75    11787.84  36.53     44.57     
11800.00  2.23      255.07    11797.84  36.43     44.21     
11810.00  2.38      256.39    11807.83  36.34     43.82     
11820.00  2.82      248.58    11817.82  36.20     43.39     
11830.00  3.29      242.94    11827.80  35.98     42.90     
11840.00  3.79      238.75    11837.78  35.67     42.37     
11850.00  4.31      235.54    11847.76  35.29     41.77     
11860.00  4.83      233.03    11857.73  34.82     41.13     
11870.00  5.37      231.01    11867.69  34.28     40.43     
11880.00  5.90      229.35    11877.64  33.65     39.67     
11890.00  6.45      227.98    11887.58  32.94     38.87     
11900.00  6.99      226.81    11897.51  32.14     38.01     
11910.00  8.40      225.21    11907.42  31.23     37.05     
11920.00  10.02     223.98    11917.29  30.08     35.93     
11930.00  11.65     223.09    11927.12  28.72     34.64     
11940.00  13.00     222.45    11936.88  27.15     33.18     
11950.00  14.16     221.93    11946.60  25.41     31.61     
11960.00  15.32     221.50    11956.27  23.51     29.91     
11970.00  16.45     221.36    11965.89  21.45     28.10     
11980.00  17.55     221.46    11975.46  19.26     26.17     
11990.00  18.64     221.55    11984.96  16.94     24.11     
12000.00  19.86     221.72    11994.40  14.47     21.93     
12010.00  21.27     221.99    12003.77  11.86     19.58     
12020.00  22.67     222.23    12013.04  9.08      17.07     
12030.00  24.10     222.45    12022.22  6.15      14.40     
12040.00  25.58     222.66    12031.29  3.06      11.56     
12050.00  27.06     222.85    12040.26  -0.20     8.55      
12060.00  28.49     223.02    12049.10  -3.62     5.37      
12070.00  29.40     223.18    12057.85  -7.15     2.07      
12080.00  30.30     223.34    12066.53  -10.77    -1.34     
12090.00  31.21     223.49    12075.12  -14.49    -4.86     
12100.00  31.36     223.50    12083.66  -18.26    -8.44     
12110.00  31.42     223.50    12092.20  -22.04    -12.02    
12120.00  31.49     223.50    12100.73  -25.82    -15.61    
12130.00  31.47     223.40    12109.26  -29.61    -19.21    
12140.00  31.44     223.28    12117.79  -33.41    -22.79    
12150.00  31.41     223.15    12126.32  -37.21    -26.36    
12160.00  31.34     223.20    12134.86  -41.01    -29.92    
12170.00  31.24     223.36    12143.40  -44.79    -33.48    
12180.00  31.15     223.52    12151.95  -48.55    -37.04    
12190.00  31.08     223.54    12160.52  -52.30    -40.60    
12200.00  31.05     223.41    12169.08  -56.04    -44.15    
12210.00  31.02     223.29    12177.65  -59.79    -47.69    
12220.00  30.98     223.18    12186.22  -63.54    -51.22    
12230.00  30.92     223.12    12194.80  -67.30    -54.74    
12240.00  30.85     223.05    12203.38  -71.04    -58.24    
12250.00  30.78     223.00    12211.97  -74.79    -61.74    
12260.00  30.69     223.00    12220.56  -78.53    -65.22    
12270.00  30.59     223.00    12229.17  -82.26    -68.70    
12280.00  30.50     223.00    12237.78  -85.97    -72.17    
12290.00  30.50     222.84    12246.40  -89.69    -75.62    
12300.00  30.50     222.69    12255.01  -93.42    -79.07    
12310.00  30.50     222.53    12263.63  -97.15    -82.50    
12320.00  30.40     222.50    12272.25  -100.89   -85.93    
12330.00  30.28     222.50    12280.88  -104.61   -89.34    
12340.00  30.15     222.50    12289.52  -108.32   -92.74    
12350.00  30.10     222.48    12298.17  -112.02   -96.13    
12360.00  30.10     222.45    12306.82  -115.72   -99.52    
12370.00  30.10     222.42    12315.47  -119.42   -102.90   
12380.00  30.07     222.26    12324.13  -123.13   -106.28   
12390.00  30.00     221.97    12332.78  -126.84   -109.64   
12400.00  29.94     221.68    12341.45  -130.56   -112.97   
12410.00  29.84     221.52    12350.12  -134.29   -116.27   
12420.00  29.68     221.59    12358.80  -138.01   -119.57   
12430.00  29.52     221.65    12367.49  -141.70   -122.85   
12440.00  29.37     221.72    12376.20  -145.37   -126.12   
12450.00  29.25     221.85    12384.92  -149.02   -129.38   
12460.00  29.12     221.97    12393.65  -152.65   -132.64   
12470.00  29.00     222.10    12402.39  -156.26   -135.89   
12480.00  29.13     221.87    12411.13  -159.87   -139.14   
12490.00  29.26     221.65    12419.86  -163.51   -142.39   
12500.00  29.39     221.42    12428.58  -167.17   -145.63   
12510.00  29.60     221.60    12437.28  -170.86   -148.89   
12520.00  29.82     221.82    12445.97  -174.56   -152.19   
12530.00  30.03     222.04    12454.64  -178.27   -155.53   
12540.00  30.28     222.49    12463.28  -181.99   -158.90   
12550.00  30.54     223.04    12471.91  -185.71   -162.34   
12560.00  30.80     223.59    12480.51  -189.42   -165.84   
12570.00  31.05     223.80    12489.09  -193.13   -169.39   
12580.00  31.30     223.80    12497.64  -196.87   -172.97   
12590.00  31.55     223.80    12506.18  -200.63   -176.58   
12600.00  31.83     223.43    12514.69  -204.42   -180.21   
12610.00  32.17     222.51    12523.17  -208.30   -183.82   
12620.00  32.52     221.61    12531.62  -212.27   -187.41   
12630.00  33.00     220.63    12540.03  -216.34   -190.96   
12640.00  34.02     219.31    12548.37  -220.57   -194.51   
12650.00  35.06     218.07    12556.61  -225.00   -198.05   
12660.00  36.14     216.89    12564.74  -229.62   -201.59   
12670.00  37.54     215.83    12572.74  -234.45   -205.15   
12680.00  38.94     214.83    12580.60  -239.50   -208.73   
12690.00  40.36     213.89    12588.29  -244.77   -212.33   
12700.00  41.29     213.80    12595.86  -250.20   -215.96   
12710.00  42.16     213.80    12603.32  -255.73   -219.67   
12720.00  43.04     213.80    12610.68  -261.36   -223.43   
12730.00  43.41     213.55    12617.96  -267.06   -227.24   
12740.00  43.57     213.19    12625.22  -272.81   -231.03   
12750.00  43.73     212.84    12632.45  -278.60   -234.79   
12760.00  43.72     211.20    12639.67  -284.44   -238.48   
12770.00  43.63     208.68    12646.91  -290.43   -241.93   
12780.00  43.60     206.16    12654.15  -296.55   -245.10   
12790.00  43.75     204.63    12661.38  -302.80   -248.03   
12800.00  44.07     204.10    12668.59  -309.11   -250.90   
12810.00  44.38     203.57    12675.75  -315.49   -253.71   
12820.00  44.81     203.23    12682.88  -321.93   -256.49   
12830.00  45.49     203.32    12689.93  -328.45   -259.29   
12840.00  46.18     203.42    12696.90  -335.03   -262.14   
12850.00  46.82     203.47    12703.78  -341.69   -265.03   
12860.00  47.05     203.18    12710.61  -348.40   -267.92   
12870.00  47.27     202.89    12717.41  -355.15   -270.79   
12880.00  47.50     202.60    12724.18  -361.93   -273.64   
12890.00  48.00     202.38    12730.90  -368.77   -276.47   
12900.00  48.50     202.16    12737.56  -375.68   -279.29   
12910.00  49.00     201.94    12744.16  -382.64   -282.12   
12920.00  50.00     201.85    12750.66  -389.70   -284.95   
12930.00  51.12     201.78    12757.01  -396.87   -287.82   
12940.00  52.25     201.72    12763.21  -404.15   -290.73   
12950.00  53.29     201.77    12769.26  -411.55   -293.67   
12960.00  54.28     201.89    12775.16  -419.04   -296.67   
12970.00  55.27     202.01    12780.93  -426.62   -299.73   
12980.00  56.26     202.12    12786.56  -434.28   -302.83   
12990.00  57.25     202.23    12792.04  -442.02   -305.99   
13000.00  58.24     202.34    12797.38  -449.85   -309.20   
13010.00  59.23     202.44    12802.57  -457.75   -312.45   
13020.00  60.22     202.55    12807.61  -465.73   -315.76   
13030.00  61.21     202.65    12812.50  -473.78   -319.11   
13040.00  62.37     202.25    12817.23  -481.91   -322.49   
13050.00  63.73     201.37    12821.77  -490.19   -325.80   
13060.00  65.08     200.51    12826.09  -498.61   -329.02   
13070.00  66.52     199.57    12830.19  -507.18   -332.15   
13080.00  68.08     198.53    12834.05  -515.90   -335.16   
13090.00  69.64     197.50    12837.65  -524.77   -338.05   
13100.00  71.18     196.41    12841.00  -533.78   -340.80   
13110.00  72.58     194.95    12844.12  -542.93   -343.37   
13120.00  73.98     193.51    12846.99  -552.21   -345.72   
13130.00  75.40     192.10    12849.63  -561.62   -347.86   
13140.00  77.07     191.02    12852.01  -571.13   -349.81   
13150.00  78.75     189.96    12854.11  -580.75   -351.59   
13160.00  80.43     188.90    12855.91  -590.45   -353.20   
13170.00  81.02     188.38    12857.51  -600.21   -354.68   
13180.00  81.49     187.91    12859.03  -609.99   -356.08   
13190.00  81.96     187.44    12860.47  -619.80   -357.40   
13200.00  82.66     186.69    12861.82  -629.63   -358.62   
13210.00  83.47     185.82    12863.03  -639.50   -359.70   
13220.00  84.28     184.95    12864.09  -649.40   -360.64   
13230.00  84.81     184.28    12865.03  -659.32   -361.43   
13240.00  85.15     183.75    12865.91  -669.26   -362.13   
13250.00  85.49     183.22    12866.73  -679.21   -362.73   
13260.00  86.07     182.54    12867.47  -689.17   -363.24   
13270.00  87.01     181.63    12868.08  -699.14   -363.60   
13280.00  87.94     180.73    12868.52  -709.13   -363.81   
13290.00  88.75     179.85    12868.80  -719.13   -363.86   
13300.00  89.23     179.00    12868.97  -729.12   -363.76   
13310.00  89.71     178.16    12869.07  -739.12   -363.51   
13320.00  90.20     177.32    12869.07  -749.11   -363.12   
13330.00  90.68     176.47    12869.00  -759.10   -362.58   
13340.00  91.17     175.63    12868.84  -769.07   -361.89   
13350.00  91.65     174.78    12868.59  -779.03   -361.05   
13360.00  91.78     173.66    12868.29  -788.98   -360.05   
13370.00  91.87     172.50    12867.97  -798.90   -358.84   
13380.00  91.95     171.34    12867.64  -808.80   -357.44   
13390.00  92.04     170.18    12867.29  -818.66   -355.83   
13400.00  92.13     169.02    12866.92  -828.49   -354.03   
13410.00  92.21     167.86    12866.54  -838.28   -352.03   
13420.00  92.29     166.70    12866.15  -848.02   -349.83   
13430.00  92.38     165.54    12865.74  -857.72   -347.43   
13440.00  92.46     164.38    12865.32  -867.37   -344.84   
13450.00  92.49     163.63    12864.89  -876.97   -342.07   
13460.00  92.47     163.29    12864.45  -886.55   -339.22   
13470.00  92.45     162.96    12864.03  -896.11   -336.32   
13480.00  92.43     162.62    12863.60  -905.65   -333.37   
13490.00  92.41     162.28    12863.18  -915.18   -330.35   
13500.00  92.39     161.95    12862.76  -924.69   -327.29   
13510.00  92.36     161.61    12862.35  -934.18   -324.16   
13520.00  92.34     161.27    12861.94  -943.65   -320.98   
13530.00  92.32     160.94    12861.53  -953.10   -317.75   
13540.00  92.30     160.60    12861.13  -962.54   -314.46   
13550.00  92.41     160.45    12860.72  -971.96   -311.12   
13560.00  92.51     160.31    12860.29  -981.37   -307.77   
13570.00  92.62     160.16    12859.84  -990.77   -304.39   
13580.00  92.72     160.01    12859.37  -1000.16  -300.99   
13590.00  92.83     159.86    12858.89  -1009.54  -297.56   
13600.00  92.93     159.72    12858.39  -1018.92  -294.11   
13610.00  93.04     159.57    12857.87  -1028.28  -290.64   
13620.00  93.14     159.42    12857.33  -1037.63  -287.14   
13630.00  93.25     159.27    12856.77  -1046.98  -283.62   
13640.00  93.04     159.05    12856.21  -1056.31  -280.07   
13650.00  92.53     158.74    12855.72  -1065.63  -276.47   
13660.00  92.01     158.44    12855.33  -1074.93  -272.83   
13670.00  91.50     158.13    12855.02  -1084.21  -269.13   
13680.00  90.98     157.83    12854.81  -1093.48  -265.38   
13690.00  90.46     157.52    12854.68  -1102.73  -261.58   
13700.00  89.95     157.22    12854.64  -1111.96  -257.73   
13710.00  89.43     156.91    12854.70  -1121.17  -253.83   
13720.00  88.92     156.61    12854.84  -1130.36  -249.89   
13730.00  88.40     156.30    12855.08  -1139.52  -245.89   
13740.00  88.74     156.23    12855.33  -1148.67  -241.87   
13750.00  89.08     156.15    12855.52  -1157.82  -237.83   
13760.00  89.42     156.08    12855.65  -1166.96  -233.78   
13770.00  89.76     156.00    12855.72  -1176.10  -229.72   
13780.00  90.10     155.93    12855.73  -1185.23  -225.65   
13790.00  90.44     155.85    12855.68  -1194.36  -221.57   
13800.00  90.78     155.78    12855.57  -1203.48  -217.47   
13810.00  91.12     155.70    12855.41  -1212.60  -213.36   
13820.00  91.46     155.63    12855.18  -1221.71  -209.24   
13830.00  91.30     155.51    12854.92  -1230.81  -205.11   
13840.00  90.79     155.35    12854.74  -1239.90  -200.95   
13850.00  90.29     155.19    12854.65  -1248.99  -196.77   
13860.00  89.78     155.03    12854.64  -1258.06  -192.56   
13870.00  89.28     154.87    12854.72  -1267.12  -188.33   
13880.00  88.77     154.72    12854.89  -1276.16  -184.07   
13890.00  88.27     154.56    12855.15  -1285.20  -179.79   
13900.00  87.76     154.40    12855.50  -1294.22  -175.48   
13910.00  87.25     154.24    12855.94  -1303.22  -171.15   
13920.00  86.79     154.11    12856.46  -1312.21  -166.80   
13930.00  86.73     154.18    12857.02  -1321.19  -162.44   
13940.00  86.67     154.25    12857.60  -1330.18  -158.10   
13950.00  86.60     154.33    12858.19  -1339.18  -153.77   
13960.00  86.54     154.40    12858.78  -1348.18  -149.45   
13970.00  86.48     154.48    12859.39  -1357.18  -145.15   
13980.00  86.41     154.55    12860.01  -1366.19  -140.85   
13990.00  86.35     154.62    12860.64  -1375.20  -136.57   
14000.00  86.29     154.70    12861.28  -1384.22  -132.30   
14010.00  86.23     154.77    12861.94  -1393.25  -128.04   
14020.00  86.36     154.84    12862.59  -1402.28  -123.79   
14030.00  86.63     154.92    12863.20  -1411.31  -119.55   
14040.00  86.89     154.99    12863.77  -1420.36  -115.33   
14050.00  87.16     155.07    12864.29  -1429.41  -111.11   
14060.00  87.42     155.14    12864.76  -1438.47  -106.91   
14070.00  87.69     155.22    12865.19  -1447.54  -102.71   
14080.00  87.96     155.29    12865.57  -1456.62  -98.53    
14090.00  88.22     155.37    12865.90  -1465.70  -94.36    
14100.00  88.49     155.44    12866.19  -1474.79  -90.20    
14110.00  88.71     155.55    12866.43  -1483.88  -86.05    
14120.00  88.79     155.83    12866.65  -1492.99  -81.93    
14130.00  88.86     156.10    12866.85  -1502.13  -77.86    
14140.00  88.94     156.38    12867.04  -1511.28  -73.83    
14150.00  89.01     156.65    12867.22  -1520.45  -69.85    
14160.00  89.08     156.92    12867.39  -1529.64  -65.91    
14170.00  89.16     157.20    12867.54  -1538.84  -62.01    
14180.00  89.23     157.47    12867.68  -1548.07  -58.16    
14190.00  89.30     157.74    12867.81  -1557.32  -54.35    
14200.00  89.38     158.02    12867.93  -1566.58  -50.58    
14210.00  89.20     158.03    12868.04  -1575.85  -46.85    
14220.00  88.92     157.94    12868.21  -1585.12  -43.10    
14230.00  88.63     157.84    12868.42  -1594.39  -39.34    
14240.00  88.35     157.75    12868.69  -1603.64  -35.56    
14250.00  88.06     157.66    12869.00  -1612.89  -31.77    
14260.00  87.78     157.56    12869.36  -1622.13  -27.96    
14270.00  87.50     157.47    12869.77  -1631.36  -24.14    
14280.00  87.21     157.37    12870.24  -1640.58  -20.30    
14290.00  86.93     157.28    12870.75  -1649.80  -16.45    
14300.00  86.71     157.20    12871.31  -1659.01  -12.59    
14310.00  86.76     157.17    12871.88  -1668.21  -8.72     
14320.00  86.82     157.15    12872.44  -1677.41  -4.84     
14330.00  86.87     157.13    12872.99  -1686.61  -0.96     
14340.00  86.92     157.11    12873.53  -1695.81  2.92      
14350.00  86.98     157.09    12874.06  -1705.01  6.80      
14360.00  87.03     157.07    12874.58  -1714.21  10.69     
14370.00  87.08     157.05    12875.10  -1723.40  14.59     
